,R2_lower,R2_upper,MSE_lower,MSE_upper
Arhgap22,0.7986674815162307,0.8441898159579923,0.16456141509115696,0.19095632657408715
Basp1,0.9162115966990747,0.9282019948743963,0.07330462243407965,0.08160072900354862
Csprs,0.891751146170313,0.9118581017996182,0.09034061543643475,0.10485847294330597
Fgf2,0.8547747922181654,0.9170915135492643,0.062022137176245454,0.08656439259648323
Ppp1r15a,0.9169705586531326,0.9271753959251192,0.0737464264035225,0.08186251223087311
Trib2,0.7900305205397026,0.8567154128030082,0.14829465113580226,0.17451273761689662
Vhl,0.8091599049664685,0.8525054582382383,0.1542124856263399,0.17658057138323785
Zfp955a,0.7605283265169984,0.8342813905219412,0.14360185228288175,0.1810003001242876
