,R2_lower,R2_upper,MSE_lower,MSE_upper
Arhgap22,0.009212595610167938,0.018035856118215052,0.835680578649044,1.1577686429023741
Basp1,0.7114357512170408,0.7462671002206144,0.2517686352133751,0.28868222832679746
Csprs,0.38171075515877406,0.45082882707689476,0.5121564731001854,0.6598179951310158
Fgf2,0.1279253315299881,0.31236378527876363,0.35020706206560137,0.7366369128227234
Ppp1r15a,0.7134976670444123,0.7427886715935981,0.2579850874841213,0.2868469513952732
Trib2,0.005265387758880011,0.02162172714866788,0.7149579718708992,1.1405296266078948
Vhl,-0.0014873310220027247,-2.773402512923353e-07,0.8293632209300995,1.1495648443698883
Zfp955a,-0.0014618118773822963,-1.9328324974421424e-07,0.6073848754167557,1.0598675429821014
