,R2_lower,R2_upper,MSE_lower,MSE_upper
Arhgap22,0.17916271867704234,0.3751695282894205,0.6173454024752603,0.8375668178002728
Basp1,0.6440791192281271,0.702677565015424,0.2945477820916275,0.3536164713307314
Csprs,0.6949034838485897,0.7602599271508277,0.242674908745712,0.2981265065347718
Fgf2,0.2584814745996051,0.529803486398183,0.276840703546778,0.5497897026992411
Ppp1r15a,0.6793917963458266,0.7172192237690808,0.2830254347571274,0.31799034375937907
Trib2,0.1240865982699677,0.3946416528189492,0.5646206169219566,0.816840628479564
Vhl,0.11929425751794769,0.3158583268459035,0.6789290937879467,0.8711943684529869
Zfp955a,0.11788027317953174,0.4032199350519952,0.44770595877980207,0.7707589039850621
