,R2_lower,R2_upper,MSE_lower,MSE_upper
Arhgap22,0.10504070357934434,0.1280662229815658,0.7475558534264565,1.03570097386837
Basp1,0.6334712941523458,0.6715116716941111,0.32256276309490206,0.3719832368195057
Csprs,0.5610690139692388,0.6193402644398152,0.36121430471539495,0.46585295274853705
Fgf2,0.16586307891652183,0.33529930241754224,0.338663287460804,0.7008793622255325
Ppp1r15a,0.6412958606503457,0.6735098612150032,0.32588037103414536,0.36139786168932914
Trib2,0.09765393256400576,0.12522730901388793,0.6494800761342049,1.0255724310874939
Vhl,0.08119454017703848,0.09798456903808994,0.7567722260951996,1.0434640973806382
Zfp955a,0.06372463388270228,0.08478115323474308,0.5623341277241707,0.9769930630922317
