,R2_lower,R2_upper,MSE_lower,MSE_upper
Arhgap22,0.8441933412615847,0.8861495485585427,0.1262492286580266,0.14107242521012872
Basp1,0.9354069984155186,0.9451324086432041,0.05658683617628743,0.06259938093982909
Csprs,0.9183400797785791,0.9363592272584577,0.06771164621349371,0.07576297516903989
Fgf2,0.8853707086033795,0.939281272121425,0.050955812217213306,0.05987283566019893
Ppp1r15a,0.9364513771096706,0.9446564398827354,0.055898777208214435,0.06248662367858542
Trib2,0.8372996451741946,0.8955226296884613,0.11413807146827924,0.1276314394446295
Vhl,0.8528576046185414,0.8925486033227806,0.11668775470986487,0.12937922631649926
Zfp955a,0.8048625803805933,0.8802781976271418,0.11534421400692313,0.13120821176479658
